timestamp,asset_id,actual_power,wind_speed_ms,ambient_temp_c,vibration_mm_s
2026-01-01 00:00:00,WTG-001,,0.0,30.73,0.6366892215554389
2026-01-01 00:10:00,WTG-001,494.66,6.17,30.73,1.2279803408117604
2026-01-01 00:20:00,WTG-001,509.76,6.27,30.6,1.3632204256775216
2026-01-01 00:30:00,WTG-001,542.53,6.42,30.52,1.1179743347955013
2026-01-01 00:40:00,WTG-001,509.36,6.25,30.49,1.0523542268278576
2026-01-01 00:50:00,WTG-001,482.21,6.1,30.47,0.9340845963669451
2026-01-01 01:00:00,WTG-001,584.75,6.77,30.31,1.3158885485699563
2026-01-01 01:10:00,WTG-001,557.98,6.7,30.24,1.6450441434320855
2026-01-01 01:20:00,WTG-001,503.94,6.44,30.13,1.2696890618148418
2026-01-01 01:30:00,WTG-001,463.37,6.25,29.97,1.3489047662056715
2026-01-01 01:40:00,WTG-001,577.47,6.87,29.87,1.197402836039635
2026-01-01 01:50:00,WTG-001,538.85,6.6,29.75,1.454334661947683
2026-01-01 02:00:00,WTG-001,559.37,6.71,29.68,1.2669061384313123
2026-01-01 02:10:00,WTG-001,585.51,6.86,29.61,1.8428294139928798
2026-01-01 02:20:00,WTG-001,608.83,6.88,29.68,1.630504447972564
2026-01-01 02:30:00,WTG-001,675.43,7.1,29.7,1.3345033741740868
2026-01-01 02:40:00,WTG-001,716.68,7.16,29.7,1.23050321472753
2026-01-01 02:50:00,WTG-001,629.83,6.8,29.7,1.2485102920419353
2026-01-01 03:00:00,WTG-001,651.13,6.85,29.7,1.355174749214337
2026-01-01 03:10:00,WTG-001,677.56,6.85,29.75,1.409073319582512
2026-01-01 03:20:00,WTG-001,619.05,6.57,29.89,1.6125939521352688
2026-01-01 03:30:00,WTG-001,576.73,6.36,29.83,1.5559342546621076
2026-01-01 03:40:00,WTG-001,665.23,6.88,29.79,1.4876624015649562
2026-01-01 03:50:00,WTG-001,761.74,7.32,29.79,1.3748978919531492
2026-01-01 04:00:00,WTG-001,898.34,7.92,29.81,1.7704000251315912
2026-01-01 04:10:00,WTG-001,867.22,7.73,29.8,1.2727857106995795
2026-01-01 04:20:00,WTG-001,1048.81,8.46,29.91,1.6334848974616163
2026-01-01 04:30:00,WTG-001,1137.1,8.81,30.03,1.6329440587946358
2026-01-01 04:40:00,WTG-001,1207.96,9.23,30.1,1.340618502723562
2026-01-01 04:50:00,WTG-001,1239.41,9.45,30.09,1.7341619770368515
2026-01-01 05:00:00,WTG-001,1179.6,9.4,30.19,1.3458250100592106
2026-01-01 05:10:00,WTG-001,1183.42,9.5,30.2,1.737893486536329
2026-01-01 05:20:00,WTG-001,1036.78,8.93,30.2,1.6740691603026006
2026-01-01 05:30:00,WTG-001,848.96,8.09,30.2,1.638928849679023
2026-01-01 05:40:00,WTG-001,748.75,7.77,30.14,1.2522940248998018
2026-01-01 05:50:00,WTG-001,809.36,7.99,30.09,1.57746923449016
2026-01-01 06:00:00,WTG-001,821.64,8.01,30.1,1.7844885822607304
2026-01-01 06:10:00,WTG-001,816.59,8.06,30.06,1.6577691374876142
2026-01-01 06:20:00,WTG-001,1118.95,9.11,29.82,1.6156420419225046
2026-01-01 06:30:00,WTG-001,1476.3,10.96,29.51,1.8466162493964628
2026-01-01 06:40:00,WTG-001,1539.55,12.81,29.44,1.7314243943053307
2026-01-01 06:50:00,WTG-001,1550.02,13.43,29.43,2.3021908617259275
2026-01-01 07:00:00,WTG-001,1550.1,12.83,29.34,2.509980176651044
2026-01-01 07:10:00,WTG-001,1549.86,12.65,29.22,2.1761841950863006
2026-01-01 07:20:00,WTG-001,1550.15,12.52,29.24,2.2057910171433717
2026-01-01 07:30:00,WTG-001,1549.96,13.25,29.33,2.241670492016875
2026-01-01 07:40:00,WTG-001,1549.88,13.48,29.17,2.4103708445976793
2026-01-01 07:50:00,WTG-001,1549.55,13.04,29.08,2.303954732471347
2026-01-01 08:00:00,WTG-001,1549.53,12.23,29.08,2.155641448688944
2026-01-01 08:10:00,WTG-001,1549.71,11.58,29.01,2.158823459068558
2026-01-01 08:20:00,WTG-001,1534.77,11.21,29.17,2.0734313860329263
2026-01-01 08:30:00,WTG-001,1508.2,10.84,29.46,1.9092640156218668
2026-01-01 08:40:00,WTG-001,1517.76,11.03,29.82,2.163624402687847
2026-01-01 08:50:00,WTG-001,1549.79,12.23,30.22,2.183498206712305
2026-01-01 09:00:00,WTG-001,1529.05,12.19,30.52,2.120514660390304
2026-01-01 09:10:00,WTG-001,1549.62,13.51,30.87,2.2525636385889913
2026-01-01 09:20:00,WTG-001,1546.67,11.93,31.1,2.3965108479346924
2026-01-01 09:30:00,WTG-001,1508.7,11.31,31.44,1.923035858829596
2026-01-01 09:40:00,WTG-001,1543.42,11.56,31.68,2.067646374929697
2026-01-01 09:50:00,WTG-001,1510.53,11.43,31.94,2.121608631523812
2026-01-01 10:00:00,WTG-001,1524.19,11.29,32.11,2.1508801327167384
2026-01-01 10:10:00,WTG-001,1518.38,11.12,32.34,1.8156027207452659
2026-01-01 10:20:00,WTG-001,1442.49,10.45,32.55,2.127262514599476
2026-01-01 10:30:00,WTG-001,1292.15,9.61,32.81,1.6602592909384815
2026-01-01 10:40:00,WTG-001,1225.7,9.17,33.04,1.7216539968122446
2026-01-01 10:50:00,WTG-001,969.62,7.96,33.27,1.308374931761859
2026-01-01 11:00:00,WTG-001,1043.58,8.71,33.57,1.771006349745576
2026-01-01 11:10:00,WTG-001,945.49,8.22,33.67,1.427397157930917
